"","Genus","Species"
"1194","Gracupica","jalla"
"1195","Gracupica","nigricollis"
"1196","Grallina","cyanoleuca"
"1197","Graminicola","bengalensis"
"1198","Graminicola","striatus"
"1199","Grammatoptila","striata"
"1200","Grandala","coelicolor"
"1201","Grus","grus"
"1202","Grus","japonensis"
"1203","Grus","monacha"
"1204","Grus","nigricollis"
"1205","Gygis","alba"
"1206","Gymnocrex","rosenbergii"
"1207","Gymnocrex","talaudensis"
"1208","Gymnophaps","mada"
"1209","Gymnoris","xanthocollis"
"1210","Gypaetus","barbatus"
"1211","Gyps","bengalensis"
"1212","Gyps","fulvus"
"1213","Gyps","himalayensis"
"1214","Gyps","indicus"
"1215","Gyps","tenuirostris"
"1216","Haematopus","ostralegus"
"1217","Haematortyx","sanguiniceps"
"1218","Halcyon","coromanda"
"1219","Halcyon","cyanoventris"
"1220","Halcyon","gularis"
"1221","Halcyon","pileata"
"1222","Halcyon","smyrnensis"
"1223","Haliaeetus","albicilla"
"1224","Haliaeetus","leucogaster"
"1225","Haliaeetus","leucoryphus"
"1226","Haliaeetus","pelagicus"
"1227","Haliastur","indus"
"1228","Harpactes","ardens"
"1229","Harpactes","diardii"
"1230","Harpactes","duvaucelii"
"1231","Harpactes","erythrocephalus"
"1232","Harpactes","fasciatus"
"1233","Harpactes","kasumba"
"1234","Harpactes","oreskios"
"1235","Harpactes","orrhophaeus"
"1236","Harpactes","wardi"
"1237","Harpactes","whiteheadi"
"1238","Heinrichia","calligyna"
"1239","Heinrichia","simplex"
"1240","Heleia","crassirostris"
"1241","Heleia","dohertyi"
"1242","Heleia","goodfellowi"
"1243","Heleia","javanica"
"1244","Heleia","muelleri"
"1245","Heleia","squamiceps"
"1246","Heleia","squamifrons"
"1247","Heleia","superciliaris"
"1248","Heleia","wallacei"
"1249","Heliopais","personatus"
"1250","Hemicircus","canente"
"1251","Hemicircus","concretus"
"1252","Hemicircus","sordidus"
"1253","Hemiprocne","comata"
"1254","Hemiprocne","coronata"
"1255","Hemiprocne","longipennis"
"1256","Hemiprocne","mystacea"
"1257","Hemipus","hirundinaceus"
"1258","Hemipus","picatus"
"1259","Hemitesia","pallidipes"
"1260","Hemixos","castanonotus"
"1261","Hemixos","cinereus"
"1262","Hemixos","connectens"
"1263","Hemixos","flavala"
"1264","Hemixos","leucogrammicus"
"1265","Heteroglaux","blewitti"
"1266","Heterophasia","auricularis"
"1267","Heterophasia","capistrata"
"1268","Heterophasia","desgodinsi"
"1269","Heterophasia","gracilis"
"1270","Heterophasia","melanoleuca"
"1271","Heterophasia","picaoides"
"1272","Heterophasia","pulchella"
"1273","Heteroscenes","pallidus"
"1274","Heteroxenicus","stellatus"
"1275","Hieraaetus","pennatus"
"1276","Hierococcyx","bocki"
"1277","Hierococcyx","fugax"
"1278","Hierococcyx","hyperythrus"
"1279","Hierococcyx","nisicolor"
"1280","Hierococcyx","pectoralis"
"1281","Hierococcyx","sparverioides"
"1282","Hierococcyx","vagans"
"1283","Hierococcyx","varius"
"1284","Himantopus","himantopus"
"1285","Hippolais","languida"
"1286","Hirundapus","caudacutus"
"1287","Hirundapus","celebensis"
"1288","Hirundapus","cochinchinensis"
"1289","Hirundapus","giganteus"
"1290","Hirundo","javanica"
"1291","Hirundo","rustica"
"1292","Hirundo","smithii"
"1293","Hodgsonius","phaenicuroides"
"1294","Horornis","acanthizoides"
"1295","Horornis","brunnescens"
"1296","Horornis","canturians"
"1297","Horornis","diphone"
"1298","Horornis","flavolivaceus"
"1299","Horornis","fortipes"
"1300","Horornis","seebohmi"
"1301","Houbaropsis","bengalensis"
"1302","Hydrobates","matsudairae"
"1303","Hydrobates","monorhis"
"1304","Hydrochous","gigas"
"1305","Hydrocoloeus","minutus"
"1306","Hydrophasianus","chirurgus"
"1307","Hydroprogne","caspia"
"1308","Hydrornis","baudii"
"1309","Hydrornis","caeruleus"
"1310","Hydrornis","cyaneus"
"1311","Hydrornis","elliotii"
"1312","Hydrornis","guajanus"
"1313","Hydrornis","gurneyi"
"1314","Hydrornis","irena"
"1315","Hydrornis","nipalensis"
"1316","Hydrornis","oatesi"
"1317","Hydrornis","phayrei"
"1318","Hydrornis","schneideri"
"1319","Hydrornis","schwaneri"
"1320","Hydrornis","soror"
"1321","Hylocitrea","bonensis"
"1322","Hylocitrea","bonthaina"
"1323","Hypocolius","ampelinus"
"1324","Hypocryptadius","cinnamomeus"
"1325","Hypotaenidia","philippensis"
"1326","Hypotaenidia","torquata"
"1327","Hypothymis","azurea"
"1328","Hypothymis","coelestis"
"1329","Hypothymis","helenae"
"1330","Hypothymis","puella"
"1331","Hypsipetes","amaurotis"
"1332","Hypsipetes","aureus"
"1333","Hypsipetes","catarmanensis"
"1334","Hypsipetes","everetti"
"1335","Hypsipetes","ganeesa"
"1336","Hypsipetes","harterti"
"1337","Hypsipetes","haynaldi"
"1338","Hypsipetes","leucocephalus"
"1339","Hypsipetes","longirostris"
"1340","Hypsipetes","mysticalis"
"1341","Hypsipetes","philippinus"
"1342","Hypsipetes","platenae"
"1343","Hypsipetes","rufigularis"
"1344","Hypsipetes","siquijorensis"
"1345","Hypsipetes","thompsoni"
"1346","Ibidorhyncha","struthersii"
"1347","Icthyophaga","humilis"
"1348","Icthyophaga","ichthyaetus"
"1349","Ictinaetus","malaiensis"
"1350","Iduna","caligata"
"1351","Iduna","pallida"
"1352","Iduna","rama"
"1353","Indicator","archipelagicus"
"1354","Indicator","xanthonotus"
"1355","Iole","charlottae"
"1356","Iole","finschii"
"1357","Iole","palawanensis"
"1358","Iole","propinqua"
"1359","Iole","viridescens"
"1360","Irania","gutturalis"
"1361","Irediparra","gallinacea"
"1362","Irena","cyanogastra"
"1363","Irena","puella"
"1364","Irena","tweeddalii"
"1365","Ithaginis","cruentus"
"1366","Ixidia","cyaniventris"
"1367","Ixidia","erythropthalmos"
"1368","Ixidia","squamata"
"1369","Ixobrychus","cinnamomeus"
"1370","Ixobrychus","eurhythmus"
"1371","Ixobrychus","flavicollis"
"1372","Ixobrychus","minutus"
"1373","Ixobrychus","sinensis"
"1374","Ixos","malaccensis"
"1375","Ixos","mcclellandii"
"1376","Ixos","nicobariensis"
"1377","Ixos","sumatranus"
"1378","Ixos","virescens"
"1379","Jynx","torquilla"
"1380","Kenopia","striata"
"1381","Ketupa","flavipes"
"1382","Ketupa","ketupu"
"1383","Ketupa","zeylonensis"
"1384","Kittacincla","albiventris"
"1385","Kittacincla","cebuensis"
"1386","Kittacincla","luzoniensis"
"1387","Kittacincla","malabarica"
"1388","Kittacincla","nigra"
"1389","Kittacincla","superciliaris"
"1390","Lacedo","melanops"
"1391","Lacedo","pulchella"
"1392","Lagopus","muta"
"1393","Lalage","fimbriata"
"1394","Lalage","leucopygialis"
"1395","Lalage","melanoleuca"
"1396","Lalage","melanoptera"
"1397","Lalage","melaschistos"
"1398","Lalage","minor"
"1399","Lalage","nigra"
"1400","Lalage","polioptera"
"1401","Lalage","sueurii"
"1402","Laniellus","albonotatus"
"1403","Laniellus","langbianis"
"1404","Lanius","bucephalus"
"1405","Lanius","collurioides"
"1406","Lanius","cristatus"
"1407","Lanius","excubitor"
"1408","Lanius","giganteus"
"1409","Lanius","isabellinus"
"1410","Lanius","minor"
"1411","Lanius","phoenicuroides"
"1412","Lanius","schach"
"1413","Lanius","sphenocercus"
"1414","Lanius","tephronotus"
"1415","Lanius","tigrinus"
"1416","Lanius","validirostris"
"1417","Lanius","vittatus"
"1418","Larus","brunnicephalus"
"1419","Larus","cachinnans"
"1420","Larus","crassirostris"
"1421","Larus","genei"
"1422","Larus","hemprichii"
"1423","Larus","hyperboreus"
"1424","Larus","ichthyaetus"
"1425","Larus","relictus"
"1426","Larus","ridibundus"
"1427","Larus","schistisagus"
"1428","Larus","smithsonianus"
"1429","Larvivora","akahige"
"1430","Larvivora","brunnea"
"1431","Larvivora","cyane"
"1432","Larvivora","ruficeps"
"1433","Larvivora","sibilans"
"1434","Laticilla","burnesii"
"1435","Laticilla","cinerascens"
"1436","Leiopicus","auriceps"
"1437","Leiopicus","mahrattensis"
"1438","Leioptila","annectens"
"1439","Leiothrix","argentauris"
"1440","Leiothrix","laurinae"
"1441","Leiothrix","lutea"
"1442","Leonardina","woodi"
"1443","Lepidogrammus","cumingi"
"1444","Leptocoma","aspasia"
"1445","Leptocoma","brasiliana"
"1446","Leptocoma","calcostetha"
"1447","Leptocoma","juliae"
"1448","Leptocoma","minima"
"1449","Leptocoma","sperata"
"1450","Leptocoma","zeylonica"
"1451","Leptopoecile","elegans"
"1452","Leptopoecile","sophiae"
"1453","Leptoptilos","dubius"
"1454","Leptoptilos","javanicus"
"1455","Lerwa","lerwa"
"1456","Leucogeranus","leucogeranus"
"1457","Leucopsar","rothschildi"
"1458","Leucosticte","arctoa"
"1459","Leucosticte","brandti"
"1460","Leucosticte","nemoricola"
"1461","Lewinia","mirifica"
"1462","Lewinia","pectoralis"
"1463","Lewinia","striata"
"1464","Lichmera","deningeri"
"1465","Lichmera","flavicans"
"1466","Lichmera","indistincta"
"1467","Lichmera","lombokia"
"1468","Lichmera","notabilis"
"1469","Lichmera","squamata"
"1470","Limnodromus","scolopaceus"
"1471","Limnodromus","semipalmatus"
"1472","Limosa","lapponica"
"1473","Linaria","cannabina"
"1474","Linaria","flavirostris"
"1475","Liocichla","bugunorum"
"1476","Liocichla","omeiensis"
"1477","Liocichla","phoenicea"
"1478","Liocichla","ripponi"
"1479","Liocichla","steerii"
"1480","Lioparus","chrysotis"
"1481","Locustella","accentor"
"1482","Locustella","alishanensis"
"1483","Locustella","amnicola"
"1484","Locustella","castanea"
"1485","Locustella","caudata"
"1486","Locustella","certhiola"
"1487","Locustella","chengi"
"1488","Locustella","davidi"
"1489","Locustella","fasciolata"
"1490","Locustella","fluviatilis"
"1491","Locustella","kashmirensis"
"1492","Locustella","lanceolata"
"1493","Locustella","luscinioides"
"1494","Locustella","luteoventris"
"1495","Locustella","major"
"1496","Locustella","mandelli"
"1497","Locustella","montis"
"1498","Locustella","naevia"
"1499","Locustella","pleskei"
"1500","Locustella","pryeri"
"1501","Locustella","seebohmi"
"1502","Locustella","tacsanowskia"
"1503","Locustella","thoracica"
"1504","Lonchura","atricapilla"
"1505","Lonchura","ferruginosa"
"1506","Lonchura","fuscans"
"1507","Lonchura","fuscata"
"1508","Lonchura","kelaarti"
"1509","Lonchura","leucogastra"
"1510","Lonchura","leucogastroides"
"1511","Lonchura","maja"
"1512","Lonchura","malacca"
"1513","Lonchura","molucca"
"1514","Lonchura","oryzivora"
"1515","Lonchura","pallida"
"1516","Lonchura","punctulata"
"1517","Lonchura","quinticolor"
"1518","Lonchura","striata"
"1519","Lophophanes","dichrous"
"1520","Lophophorus","impejanus"
"1521","Lophophorus","lhuysii"
"1522","Lophophorus","sclateri"
"1523","Lophotriorchis","kienerii"
"1524","Lophura","bulweri"
"1525","Lophura","diardi"
"1526","Lophura","edwardsi"
"1527","Lophura","erythrophthalma"
"1528","Lophura","ignita"
"1529","Lophura","inornata"
"1530","Lophura","leucomelanos"
"1531","Lophura","nycthemera"
"1532","Lophura","pyronota"
"1533","Lophura","rufa"
"1534","Lophura","swinhoii"
"1535","Loriculus","beryllinus"
"1536","Loriculus","catamene"
"1537","Loriculus","exilis"
"1538","Loriculus","flosculus"
"1539","Loriculus","galgulus"
"1540","Loriculus","philippensis"
"1541","Loriculus","pusillus"
"1542","Loriculus","sclateri"
"1543","Loriculus","stigmatus"
"1544","Loriculus","vernalis"
"1545","Loxia","curvirostra"
"1546","Luscinia","megarhynchos"
"1547","Lymnocryptes","minimus"
"1548","Lyncornis","macrotis"
"1549","Lyncornis","temminckii"
"1550","Macheiramphus","alcinus"
"1551","Machlolophus","holsti"
"1552","Machlolophus","nuchalis"
"1553","Machlolophus","spilonotus"
"1554","Machlolophus","xanthogenys"
"1555","Macrocephalon","maleo"
"1556","Macronus","ptilosus"
"1557","Macronus","striaticeps"
"1558","Macropygia","amboinensis"
"1559","Macropygia","emiliana"
"1560","Macropygia","macassariensis"
"1561","Macropygia","magna"
"1562","Macropygia","ruficeps"
"1563","Macropygia","rufipennis"
"1564","Macropygia","tenuirostris"
"1565","Macropygia","unchall"
"1566","Madanga","ruficollis"
"1567","Malacocincla","abbotti"
"1568","Malacocincla","perspicillata"
"1569","Malacocincla","sepiaria"
"1570","Malacopteron","affine"
"1571","Malacopteron","albogulare"
"1572","Malacopteron","cinereum"
"1573","Malacopteron","magnirostre"
"1574","Malacopteron","magnum"
"1575","Malacopteron","palawanense"
"1576","Malia","grata"
"1577","Malindangia","mcgregori"
"1578","Mareca","strepera"
"1579","Marmaronetta","angustirostris"
"1580","Mearnsia","picina"
"1581","Megaceryle","lugubris"
"1582","Megalurus","palustris"
"1583","Megapodius","bernsteinii"
"1584","Megapodius","cumingii"
"1585","Megapodius","freycinet"
"1586","Megapodius","nicobariensis"
"1587","Megapodius","reinwardt"
"1588","Meiglyptes","grammithorax"
"1589","Meiglyptes","jugularis"
"1590","Meiglyptes","tristis"
"1591","Meiglyptes","tukki"
"1592","Melanitta","americana"
"1593","Melanochlora","sultanea"
"1594","Melanocorypha","bimaculata"
"1595","Melanocorypha","calandra"
"1596","Melanocorypha","maxima"
"1597","Melanocorypha","mongolica"
"1598","Melanoperdix","niger"
"1599","Melopsittacus","undulatus"
"1600","Mergellus","albellus"
"1601","Mergus","merganser"
"1602","Mergus","squamatus"
"1603","Meropogon","forsteni"
"1604","Merops","americanus"
"1605","Merops","apiaster"
"1606","Merops","leschenaulti"
"1607","Merops","orientalis"
"1608","Merops","ornatus"
"1609","Merops","persicus"
"1610","Merops","philippinus"
"1611","Merops","viridis"
"1612","Metopidius","indicus"
"1613","Microcarbo","melanoleucos"
"1614","Microcarbo","niger"
"1615","Microcarbo","pygmaeus"
"1616","Microhierax","caerulescens"
"1617","Microhierax","erythrogenys"
"1618","Microhierax","fringillarius"
"1619","Microhierax","latifrons"
"1620","Microhierax","melanoleucos"
"1621","Micromacronus","leytensis"
"1622","Micromacronus","sordidus"
"1623","Micropsitta","bruijnii"
"1624","Micropternus","brachyurus"
"1625","Microptilotis","reticulatus"
"1626","Microtarsus","melanoleucos"
"1627","Milvus","migrans"
"1628","Minla","ignotincta"
"1629","Mirafra","affinis"
"1630","Mirafra","assamica"
"1631","Mirafra","erythrocephala"
"1632","Mirafra","erythroptera"
"1633","Mirafra","javanica"
"1634","Mirafra","microptera"
"1635","Mixornis","bornensis"
"1636","Mixornis","flavicollis"
"1637","Mixornis","gularis"
"1638","Mixornis","kelleyi"
"1639","Mixornis","prillwitzi"
"1640","Monarcha","cinerascens"
"1641","Montecincla","cachinnans"
"1642","Montecincla","fairbanki"
"1643","Montecincla","jerdoni"
"1644","Montecincla","meridionalis"
"1645","Monticola","cinclorhyncha"
"1646","Monticola","gularis"
"1647","Monticola","rufiventris"
"1648","Monticola","saxatilis"
"1649","Monticola","solitarius"
"1650","Montifringilla","adamsi"
"1651","Montifringilla","henrici"
"1652","Montifringilla","nivalis"
"1653","Motacilla","alba"
"1654","Motacilla","cinerea"
"1655","Motacilla","citreola"
"1656","Motacilla","flava"
"1657","Motacilla","maderaspatensis"
"1658","Motacilla","samveasnae"
"1659","Motacilla","tschutschensis"
"1660","Moupinia","poecilotis"
"1661","Mulleripicus","fuliginosus"
"1662","Mulleripicus","fulvus"
"1663","Mulleripicus","funebris"
"1664","Mulleripicus","pulverulentus"
"1665","Muscicapa","dauurica"
"1666","Muscicapa","ferruginea"
"1667","Muscicapa","griseisticta"
"1668","Muscicapa","muttui"
"1669","Muscicapa","randi"
"1670","Muscicapa","segregata"
"1671","Muscicapa","sibirica"
"1672","Muscicapa","striata"
"1673","Mycerobas","affinis"
"1674","Mycerobas","carnipes"
"1675","Mycerobas","icterioides"
"1676","Mycerobas","melanozanthos"
"1677","Mycteria","cinerea"
"1678","Mycteria","leucocephala"
"1679","Myiagra","galeata"
"1680","Myiagra","ruficollis"
"1681","Myiomela","cambodiana"
"1682","Myiomela","diana"
"1683","Myiomela","leucura"
"1684","Myophonus","blighi"
"1685","Myophonus","borneensis"
"1686","Myophonus","caeruleus"
"1687","Myophonus","castaneus"
"1688","Myophonus","glaucinus"
"1689","Myophonus","horsfieldii"
"1690","Myophonus","insularis"
"1691","Myophonus","melanurus"
"1692","Myophonus","robinsoni"
"1693","Myza","celebensis"
"1694","Myza","sarasinorum"
"1695","Myzomela","chloroptera"
"1696","Myzomela","dammermani"
"1697","Myzomela","kuehni"
"1698","Myzomela","vulnerata"
"1699","Myzomela","wakoloensis"
"1700","Myzornis","pyrrhoura"
"1701","Napothera","epilepidota"
"1702","Neophron","percnopterus"
"1703","Neosuthora","davidiana"
"1704","Nesoenas","picturatus"
"1705","Netta","rufina"
"1706","Nettapus","coromandelianus"
"1707","Nettapus","pulchellus"
"1708","Niltava","davidi"
"1709","Niltava","grandis"
"1710","Niltava","macgrigoriae"
"1711","Niltava","oatesi"
"1712","Niltava","sumatrana"
"1713","Niltava","sundara"
"1714","Niltava","vivida"
"1715","Ninox","affinis"
"1716","Ninox","boobook"
"1717","Ninox","burhani"
"1718","Ninox","hantu"
"1719","Ninox","ios"
"1720","Ninox","japonica"
"1721","Ninox","leventisi"
"1722","Ninox","mindorensis"
"1723","Ninox","natalis"
"1724","Ninox","obscura"
"1725","Ninox","ochracea"
"1726","Ninox","philippensis"
"1727","Ninox","punctulata"
"1728","Ninox","randi"
"1729","Ninox","reyi"
"1730","Ninox","rudolfi"
"1731","Ninox","rumseyi"
"1732","Ninox","scutulata"
"1733","Ninox","spilocephala"
"1734","Ninox","spilonotus"
"1735","Ninox","sumbaensis"
"1736","Nipponia","nippon"
"1737","Nisaetus","alboniger"
"1738","Nisaetus","bartelsi"
"1739","Nisaetus","cirrhatus"
"1740","Nisaetus","floris"
"1741","Nisaetus","lanceolatus"
"1742","Nisaetus","nanus"
"1743","Nisaetus","nipalensis"
"1744","Nisaetus","philippensis"
"1745","Nisaetus","pinskeri"
"1746","Nok","hualon"
"1747","Nucifraga","caryocatactes"
"1748","Nucifraga","hemispila"
"1749","Nucifraga","multipunctata"
"1750","Numenius","phaeopus"
"1751","Nycticorax","caledonicus"
"1752","Nycticorax","nycticorax"
"1753","Nyctyornis","amictus"
"1754","Nyctyornis","athertoni"
"1755","Oceanites","oceanicus"
"1756","Ocyceros","birostris"
"1757","Ocyceros","gingalensis"
"1758","Ocyceros","griseus"
"1759","Oenanthe","albonigra"
"1760","Oenanthe","chrysopygia"
"1761","Oenanthe","deserti"
"1762","Oenanthe","finschii"
"1763","Oenanthe","fusca"
"1764","Oenanthe","isabellina"
"1765","Oenanthe","monacha"
"1766","Oenanthe","oenanthe"
"1767","Oenanthe","picata"
"1768","Oenanthe","pleschanka"
"1769","Onychoprion","aleuticus"
"1770","Onychoprion","anaethetus"
"1771","Onychoprion","fuscatus"
"1772","Onychostruthus","taczanowskii"
"1773","Ophrysia","superciliosa"
"1774","Oriolus","albiloris"
"1775","Oriolus","bouroensis"
"1776","Oriolus","chinensis"
"1777","Oriolus","consanguineus"
"1778","Oriolus","cruentus"
"1779","Oriolus","finschi"
"1780","Oriolus","hosii"
"1781","Oriolus","isabellae"
"1782","Oriolus","kundoo"
"1783","Oriolus","melanotis"
"1784","Oriolus","mellianus"
"1785","Oriolus","steerii"
"1786","Oriolus","tenuirostris"
"1787","Oriolus","traillii"
"1788","Oriolus","xanthonotus"
"1789","Oriolus","xanthornus"
"1790","Orthotomus","atrogularis"
"1791","Orthotomus","castaneiceps"
"1792","Orthotomus","chaktomuk"
"1793","Orthotomus","chloronotus"
"1794","Orthotomus","cinereiceps"
"1795","Orthotomus","derbianus"
"1796","Orthotomus","frontalis"
"1797","Orthotomus","nigriceps"
"1798","Orthotomus","ruficeps"
"1799","Orthotomus","samarensis"
"1800","Orthotomus","sepium"
"1801","Orthotomus","sericeus"
"1802","Orthotomus","sutorius"
"1803","Otis","tarda"
"1804","Otocichla","mupinensis"
"1805","Otus","alfredi"
"1806","Otus","alius"
"1807","Otus","angelinae"
"1808","Otus","bakkamoena"
"1809","Otus","balli"
"1810","Otus","brookii"
"1811","Otus","brucei"
"1812","Otus","collari"
"1813","Otus","elegans"
"1814","Otus","enganensis"
"1815","Otus","everetti"
"1816","Otus","fuliginosus"
"1817","Otus","gurneyi"
"1818","Otus","jolandae"
"1819","Otus","lempiji"
"1820","Otus","lettia"
"1821","Otus","longicornis"
"1822","Otus","magicus"
"1823","Otus","manadensis"
"1824","Otus","mantananensis"
"1825","Otus","megalotis"
"1826","Otus","mendeni"
"1827","Otus","mentawi"
"1828","Otus","mindorensis"
"1829","Otus","mirus"
"1830","Otus","nigrorum"
"1831","Otus","rufescens"
"1832","Otus","sagittatus"
"1833","Otus","scops"
"1834","Otus","semitorques"
"1835","Otus","siaoensis"
"1836","Otus","silvicola"
"1837","Otus","spilocephalus"
"1838","Otus","sulaensis"
"1839","Otus","sunia"
"1840","Otus","tempestatis"
"1841","Otus","thilohoffmanni"
"1842","Otus","umbra"
"1843","Oxyura","leucocephala"
"1844","Pachycephala","albiventris"
"1845","Pachycephala","cinerea"
"1846","Pachycephala","fulvotincta"
"1847","Pachycephala","griseonota"
"1848","Pachycephala","homeyeri"
"1849","Pachycephala","hypoxantha"
"1850","Pachycephala","nudigula"
"1851","Pachycephala","orpheus"
"1852","Pachycephala","pectoralis"
"1853","Pachycephala","phaionota"
"1854","Pachycephala","philippinensis"
"1855","Pachycephala","sulfuriventer"
"1856","Pachycephala","teysmanni"
"1857","Pachyptila","vittata"
"1858","Pandion","haliaetus"
"1859","Panurus","biarmicus"
"1860","Papasula","abbotti"
"1861","Paradoxornis","flavirostris"
"1862","Paradoxornis","guttaticollis"
"1863","Paradoxornis","heudei"
"1864","Pardaliparus","amabilis"
"1865","Pardaliparus","elegans"
"1866","Pardaliparus","venustulus"
"1867","Parus","major"
"1868","Parus","monticolus"
"1869","Passer","ammodendri"
"1870","Passer","cinnamomeus"
"1871","Passer","domesticus"
"1872","Passer","flaveolus"
"1873","Passer","hispaniolensis"
"1874","Passer","montanus"
"1875","Passer","pyrrhonotus"
"1876","Pastor","roseus"
"1877","Pavo","cristatus"
"1878","Pavo","muticus"
"1879","Pelagodroma","marina"
"1880","Pelargopsis","amauroptera"
"1881","Pelargopsis","capensis"
"1882","Pelargopsis","melanorhyncha"
"1883","Pelecanus","conspicillatus"
"1884","Pelecanus","crispus"
"1885","Pelecanus","onocrotalus"
"1886","Pelecanus","philippensis"
"1887","Pellorneum","albiventre"
"1888","Pellorneum","capistratum"
"1889","Pellorneum","fuscocapillus"
"1890","Pellorneum","nigrocapitatum"
"1891","Pellorneum","palustre"
"1892","Pellorneum","ruficeps"
"1893","Penelopides","affinis"
"1894","Penelopides","manillae"
"1895","Penelopides","mindorensis"
"1896","Penelopides","panini"
"1897","Perdicula","argoondah"
"1898","Perdicula","asiatica"
"1899","Perdicula","erythrorhyncha"
"1900","Perdicula","manipurensis"
"1901","Perdix","dauurica"
"1902","Perdix","hodgsoniae"
"1903","Pericrocotus","albifrons"
"1904","Pericrocotus","brevirostris"
"1905","Pericrocotus","cantonensis"
"1906","Pericrocotus","cinnamomeus"
"1907","Pericrocotus","divaricatus"
"1908","Pericrocotus","erythropygius"
"1909","Pericrocotus","ethologus"
"1910","Pericrocotus","flammeus"
"1911","Pericrocotus","igneus"
"1912","Pericrocotus","lansbergei"
"1913","Pericrocotus","miniatus"
"1914","Pericrocotus","montanus"
"1915","Pericrocotus","roseus"
"1916","Pericrocotus","solaris"
"1917","Pericrocotus","tegimae"
"1918","Periparus","ater"
"1919","Periparus","rubidiventris"
"1920","Periparus","rufonuchalis"
"1921","Perisoreus","internigrans"
"1922","Pernis","celebensis"
"1923","Pernis","ptilorhynchus"
"1924","Pernis","steerei"
"1925","Petrochelidon","fluvicola"
"1926","Petrochelidon","nigricans"
"1927","Petronia","petronia"
"1928","Phaenicophaeus","curvirostris"
"1929","Phaenicophaeus","diardi"
"1930","Phaenicophaeus","oeneicaudus"
"1931","Phaenicophaeus","pyrrhocephalus"
"1932","Phaenicophaeus","sumatranus"
"1933","Phaenicophaeus","tristis"
"1934","Phaenicophaeus","viridirostris"
"1935","Phaethon","aethereus"
"1936","Phaethon","lepturus"
"1937","Phaethon","rubricauda"
"1938","Phalacrocorax","capillatus"
"1939","Phalacrocorax","carbo"
"1940","Phalacrocorax","fuscicollis"
"1941","Phalacrocorax","sulcirostris"
"1942","Phalaropus","lobatus"
"1943","Phapitreron","amethystinus"
"1944","Phapitreron","brevirostris"
"1945","Phapitreron","brunneiceps"
"1946","Phapitreron","cinereiceps"
"1947","Phapitreron","frontalis"
"1948","Phapitreron","leucotis"
"1949","Phapitreron","maculipectus"
"1950","Phapitreron","nigrorum"
"1951","Phasianus","colchicus"
"1952","Philemon","buceroides"
"1953","Philemon","inornatus"
"1954","Philemon","moluccensis"
"1955","Philentoma","pyrhoptera"
"1956","Philentoma","velata"
"1957","Phodilus","assimilis"
"1958","Phodilus","badius"
"1959","Phoebastria","albatrus"
"1960","Phoebastria","immutabilis"
"1961","Phoebastria","nigripes"
"1962","Phoeniconaias","minor"
"1963","Phoenicopterus","roseus"
"1964","Phoenicurus","alaschanicus"
"1965","Phoenicurus","auroreus"
"1966","Phoenicurus","bicolor"
"1967","Phoenicurus","coeruleocephala"
"1968","Phoenicurus","erythrogastrus"
"1969","Phoenicurus","erythronotus"
"1970","Phoenicurus","frontalis"
"1971","Phoenicurus","fuliginosus"
"1972","Phoenicurus","hodgsoni"
"1973","Phoenicurus","leucocephalus"
"1974","Phoenicurus","ochruros"
"1975","Phoenicurus","phoenicurus"
"1976","Phoenicurus","schisticeps"
"1977","Phyllergates","cucullatus"
"1978","Phyllergates","heterolaemus"
"1979","Phylloscopus","affinis"
"1980","Phylloscopus","armandii"
"1981","Phylloscopus","borealis"
"1982","Phylloscopus","burkii"
"1983","Phylloscopus","calciatilis"
"1984","Phylloscopus","cantator"
"1985","Phylloscopus","castaniceps"
"1986","Phylloscopus","cebuensis"
"1987","Phylloscopus","chloronotus"
"1988","Phylloscopus","claudiae"
"1989","Phylloscopus","collybita"
"1990","Phylloscopus","coronatus"
"1991","Phylloscopus","emeiensis"
"1992","Phylloscopus","examinandus"
"1993","Phylloscopus","forresti"
"1994","Phylloscopus","fuligiventer"
"1995","Phylloscopus","fuscatus"
"1996","Phylloscopus","goodsoni"
"1997","Phylloscopus","grammiceps"
"1998","Phylloscopus","griseolus"
"1999","Phylloscopus","hainanus"
"2000","Phylloscopus","humei"
"2001","Phylloscopus","intensior"
"2002","Phylloscopus","intermedius"
"2003","Phylloscopus","kansuensis"
"2004","Phylloscopus","maculipennis"
"2005","Phylloscopus","magnirostris"
"2006","Phylloscopus","montis"
"2007","Phylloscopus","neglectus"
"2008","Phylloscopus","nitidus"
"2009","Phylloscopus","occipitalis"
"2010","Phylloscopus","ogilviegranti"
"2011","Phylloscopus","olivaceus"
"2012","Phylloscopus","omeiensis"
"2013","Phylloscopus","plumbeitarsus"
"2014","Phylloscopus","poliocephalus"
"2015","Phylloscopus","poliogenys"
"2016","Phylloscopus","presbytes"
"2017","Phylloscopus","proregulus"
"2018","Phylloscopus","pulcher"
"2019","Phylloscopus","reguloides"
"2020","Phylloscopus","ricketti"
"2021","Phylloscopus","rotiensis"
"2022","Phylloscopus","sarasinorum"
"2023","Phylloscopus","schwarzi"
"2024","Phylloscopus","sindianus"
"2025","Phylloscopus","soror"
"2026","Phylloscopus","subaffinis"
"2027","Phylloscopus","subviridis"
"2028","Phylloscopus","sumatrensis"
"2029","Phylloscopus","tenellipes"
"2030","Phylloscopus","tephrocephalus"
"2031","Phylloscopus","tristis"
"2032","Phylloscopus","trivirgatus"
